,title,author
149,Love in the Time of Cholera,Gabriel García Márquez
150,Shadow Kiss,Richelle Mead 
151,Insurgent,Veronica Roth 
152,The Thorn Birds,Colleen McCullough
153,A Walk to Remember,Nicholas Sparks 
154,How the Grinch Stole Christmas!,Dr. Seuss
155,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams
156,Atonement,Ian McEwan
157,The Importance of Being Earnest,Oscar Wilde
158,"Eat, Pray, Love",Elizabeth Gilbert 
159,Their Eyes Were Watching God,Zora Neale Hurston
160,The Three Musketeers,Alexandre Dumas
161,The Wonderful Wizard of Oz,L. Frank Baum
162,Frostbite,Richelle Mead 
163,Goodnight Moon,Margaret Wise Brown
164,The Lorax,Dr. Seuss
165,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett
166,Blood Promise,Richelle Mead 
167,Tess of the D'Urbervilles,Thomas Hardy
168,The Good Earth,Pearl S. Buck
169,Heart of Darkness,Joseph Conrad
170,The Battle of the Labyrinth,Rick Riordan 
171,A Midsummer Night's Dream,William Shakespeare
172,Clockwork Princess,Cassandra Clare 
173,The Prophet,Kahlil Gibran
174,The Mists of Avalon,Marion Zimmer Bradley
175,The Titan's Curse,Rick Riordan 
176,The Sea of Monsters,Rick Riordan 
177,The Joy Luck Club,Amy Tan 
178,Alice in Wonderland,Jane Carruth (Adapted By)
179,The Call of the Wild,Jack London
180,Jonathan Livingston Seagull,Richard Bach 
182,The Phantom Tollbooth,Norton Juster
183,Bridge to Terabithia,Katherine Paterson
185,"Oh, the Places You'll Go!",Dr. Seuss
186,The Girl Who Played with Fire,Stieg Larsson
187,The Maze Runner,James Dashner 
188,The Neverending Story,Michael Ende
189,Oliver Twist,Charles Dickens
190,Ulysses,James Joyce
191,Treasure Island,Robert Louis Stevenson
192,Fifty Shades of Grey,E.L. James 
193,The Clan of the Cave Bear,Jean M. Auel
194,A Storm of Swords,George R.R. Martin
195,The Canterbury Tales,Geoffrey Chaucer
196,The World According to Garp,John Irving 
197,A Farewell to Arms,Ernest Hemingway
198,David Copperfield,Charles Dickens
200,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire
201,Shōgun,James Clavell
202,Extremely Loud & Incredibly Close,Jonathan Safran Foer 
203,Murder on the Orient Express,Agatha Christie
204,His Dark Materials,Philip Pullman
205,A Little Princess,Frances Hodgson Burnett
206,The Other Boleyn Girl,Philippa Gregory 
207,Schindler's List,Thomas Keneally
208,The Boy in the Striped Pajamas,John Boyne
209,Jurassic Park,Michael Crichton
210,Last Sacrifice,Richelle Mead 
211,The Night Circus,Erin Morgenstern 
212,Fallen,Lauren Kate 
213,The Silmarillion,J.R.R. Tolkien
214,The Secret Magdalene,Ki Longfellow 
215,Beloved,Toni Morrison
216,The Trial,Franz Kafka
217,A Confederacy of Dunces,John Kennedy Toole
218,The Sun Also Rises,Ernest Hemingway
219,The Selection,Kiera Cass 
220,The Velveteen Rabbit,Margery Williams Bianco
221,Catching Fire,Suzanne Collins
222,The Lost Hero,Rick Riordan 
223,Throne of Glass,Sarah J. Maas 
224,Spirit Bound,Richelle Mead 
225,Clockwork Prince,Cassandra Clare 
226,The Iliad/The Odyssey,Homer
227,The Crucible,Arthur Miller
228,Cat's Cradle,Kurt Vonnegut Jr.
229,The God of Small Things,Arundhati Roy 
230,The Wind in the Willows,Kenneth Grahame
231,The Screwtape Letters,C.S. Lewis
232,Girl with a Pearl Earring,Tracy Chevalier 
233,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom
234,A Light in the Attic,Shel Silverstein
235,The Silence of the Lambs,Thomas Harris
236,Shiver,Maggie Stiefvater 
237,Uglies,Scott Westerfeld 
238,City of Fallen Angels,Cassandra Clare 
239,Man's Search for Meaning,Viktor E. Frankl
240,She's Come Undone,Wally Lamb 
241,The Phantom of the Opera,Gaston Leroux
242,Marley and Me: Life and Love With the World's Worst Dog,John Grogan
243,Ella Enchanted,Gail Carson Levine 
244,The Wind-Up Bird Chronicle,Haruki Murakami
245,Cinder,Marissa Meyer 
246,The Green Mile,Stephen King 
247,Blindness,José Saramago
248,A Clash of Kings,George R.R. Martin
249,The Sound and the Fury,William Faulkner
250,The Shack,William Paul Young
251,Marked,P.C. Cast 
252,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer
253,For Whom the Bell Tolls,Ernest Hemingway
254,Fear and Loathing in Las Vegas,Hunter S. Thompson
255,The House of the Spirits,Isabel Allende 
256,The Complete Calvin and Hobbes,Bill Watterson
257,Roots: The Saga of an American Family,Alex Haley
258,Misery,Stephen King 
259,Howl's Moving Castle,Diana Wynne Jones
260,Stranger in a Strange Land,Robert A. Heinlein
261,Island of the Blue Dolphins,Scott O'Dell
262,Midnight Sun [2008 Draft],Stephenie Meyer
263,The Girl Who Kicked the Hornet's Nest,Stieg Larsson
264,The Secret History,Donna Tartt
265,White Oleander,Janet Fitch 
266,The Diary of a Young Girl,Anne Frank
267,Delirium,Lauren Oliver 
268,Beautiful Disaster,Jamie McGuire 
269,Othello,William Shakespeare
270,Flow Down Like Silver: Hypatia of Alexandria,Ki Longfellow 
271,Paper Towns,John Green 
272,The Vampire Lestat,Anne Rice
273,Speak,Laurie Halse Anderson 
274,The Idiot,Fyodor Dostoyevsky
275,King Lear,William Shakespeare
276,The Once and Future King,T.H. White
277,I Know This Much Is True,Wally Lamb 
278,Neverwhere,Neil Gaiman 
279,Into the Wild,Jon Krakauer 
280,Inkheart,Cornelia Funke 
281,Uncle Tom's Cabin,Harriet Beecher Stowe
282,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore 
283,The Historian,Elizabeth Kostova
284,The Complete Sherlock Holmes,Arthur Conan Doyle
285,Candide,Voltaire
286,James and the Giant Peach,Roald Dahl
287,Invisible Man,Ralph Ellison
288,Gone Girl,Gillian Flynn 
289,Blood River: A Journey to Africa's Broken Heart,Tim Butcher 
290,Paradise Lost,John Milton
291,Leaves of Grass,Walt Whitman
292,All Creatures Great and Small,James Herriot
293,Graceling,Kristin Cashore
294,The Complete Works,William Shakespeare
295,The Thirteenth Tale,Diane Setterfield 
296,Foundation,Isaac Asimov
297,Norwegian Wood,Haruki Murakami
298,The Things They Carried,Tim O'Brien
299,The Cider House Rules,John Irving 
300,The Time Machine,H.G. Wells
301,Different Seasons,Stephen King 
302,Kafka on the Shore,Haruki Murakami
303,Heidi,Johanna Spyri
304,"Are You There God? It's Me, Margaret",Judy Blume 
305,City of Lost Souls,Cassandra Clare 
306,Sophie's World,Jostein Gaarder
307,Walden,Henry David Thoreau
308,The Wise Man's Fear,Patrick Rothfuss 
310,The Awakening,Kate Chopin
311,Fangirl,Rainbow Rowell 
312,Sophie's Choice,William Styron
313,The Prince of Tides,Pat Conroy
314,Never Let Me Go,Kazuo Ishiguro
315,The Son of Neptune,Rick Riordan 
316,Dead Until Dark,Charlaine Harris 
317,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg
318,Fifty Shades Darker,E.L. James 
319,Ready Player One,Ernest Cline 
320,Middlemarch,George Eliot
321,The Monster at the End of this Book,Jon Stone
322,A Court of Mist and Fury,Sarah J. Maas 
323,Things Fall Apart,Chinua Achebe
324,Bridget Jones's Diary,Helen Fielding 
325,Mrs. Dalloway,Virginia Woolf
326,Mockingjay,Suzanne Collins
327,Franny and Zooey,J.D. Salinger
328,The Power of One,Bryce Courtenay
329,The Magician's Nephew,C.S. Lewis
330,Stardust,Neil Gaiman 
331,A Time to Kill,John Grisham 
332,The Gunslinger,Stephen King 
333,Number the Stars,Lois Lowry 
334,Do Androids Dream of Electric Sheep?,Philip K. Dick
335,Allegiant,Veronica Roth 
336,Eleanor & Park,Rainbow Rowell 
337,A Short History of Nearly Everything,Bill Bryson
338,The Lord of the Rings,J.R.R. Tolkien
339,Me Before You,Jojo Moyes 
340,The Mark of Athena,Rick Riordan 
341,The Art of Racing in the Rain,Garth Stein 
342,The Way of Kings,Brandon Sanderson 
343,If I Stay,Gayle Forman 
344,Black Beauty,Anna Sewell
345,Legend,Marie Lu 
346,The Hound of the Baskervilles,Arthur Conan Doyle
347,A Portrait of the Artist as a Young Man,James Joyce
348,Gulliver's Travels,Jonathan Swift
349,Bel Canto,Ann Patchett
350,American Psycho,Bret Easton Ellis
351,V for Vendetta,Alan Moore 
352,Love You Forever,Robert Munsch
353,The Witches,Roald Dahl
355,The Graveyard Book,Neil Gaiman 
356,The Complete Novels,Jane Austen
357,Fifty Shades Freed,E.L. James 
358,Cold Mountain,Charles Frazier
359,White Fang,Jack London
360,Wonder,R.J. Palacio
361,Beowulf,Unknown
362,Tuck Everlasting,Natalie Babbitt
363,The Final Empire,Brandon Sanderson 
364,Beautiful Creatures,Kami Garcia 
365,Steppenwolf,Hermann Hesse
366,Eldest,Christopher Paolini 
367,Dark Lover,J.R. Ward 
368,Go Ask Alice,"Beatrice Sparks (as ""Anonymous"")"
370,The Eye of the World,Robert Jordan
371,The Tell-Tale Heart and Other Writings,Edgar Allan Poe
372,As I Lay Dying,William Faulkner
373,A Separate Peace,John Knowles
374,The Complete Maus,Art Spiegelman
375,Mansfield Park,Jane Austen
376,The Amazing Adventures of Kavalier & Clay,Michael Chabon
377,Brisingr,Christopher Paolini 
379,"A Child Called ""It""",Dave Pelzer 
380,Stargirl,Jerry Spinelli
381,Tao Te Ching,Lao Tzu
382,Dear John,Nicholas Sparks 
383,Midnight's Children,Salman Rushdie
384,Obsidian,Jennifer L. Armentrout 
385,'Salem's Lot,Stephen King 
386,The Martian Chronicles,Ray Bradbury
387,Crescendo,Becca Fitzpatrick 
388,The English Patient,Michael Ondaatje
389,East of Eden,John Steinbeck
390,Cloud Atlas,David Mitchell
391,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig
392,The Martian,Andy Weir 
393,The Firm,John Grisham 
394,The Last Song,Nicholas Sparks 
395,My Ántonia,Willa Cather
396,Shatter Me,Tahereh Mafi
397,The Amber Spyglass,Philip Pullman
398,Doctor Zhivago,Boris Pasternak
399,The Hunchback of Notre-Dame,Victor Hugo
400,Robinson Crusoe,Daniel Defoe
401,Inferno,Dante Alighieri
402,Like Water for Chocolate,Laura Esquivel
403,Breakfast at Tiffany's and Three Stories,Truman Capote
404,Room,Emma Donoghue 
405,Dragonfly in Amber,Diana Gabaldon 
406,Breakfast of Champions,Kurt Vonnegut Jr.
407,The BFG,Roald Dahl
408,Six of Crows,Leigh Bardugo 
410,The Origin of Species,Charles Darwin
411,A Fine Balance,Rohinton Mistry
412,Daughter of Smoke & Bone,Laini Taylor 
413,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson
414,City of Heavenly Fire,Cassandra Clare 
415,Evermore,Alyson Noel 
416,The Subtle Knife,Philip Pullman
417,Death of a Salesman,Arthur Miller
418,11/22/63,Stephen King 
419,The Plague,Albert Camus
420,Midnight in the Garden of Good and Evil,John Berendt
421,A Streetcar Named Desire,Tennessee Williams
422,Infinite Jest,David Foster Wallace
423,The Prince,Niccolò Machiavelli
424,Hamlet,William Shakespeare
425,"Faust, First Part",Johann Wolfgang von Goethe
426,Snow Flower and the Secret Fan,Lisa See 
427,The Remains of the Day,Kazuo Ishiguro
428,Anna and the French Kiss,Stephanie Perkins 
429,A Feast for Crows,George R.R. Martin
430,The Angel Experiment,James Patterson 
431,Miss Peregrine's Home for Peculiar Children,Ransom Riggs
432,Matched,Ally Condie 
433,Flowers in the Attic,V.C. Andrews
434,The Shipping News,Annie Proulx
435,"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand
436,The Scarlet Pimpernel,Emmuska Orczy
437,Hopeless,Colleen Hoover 
438,Jonathan Strange & Mr Norrell,Susanna Clarke
439,The Chosen,Chaim Potok
440,High Fidelity,Nick Hornby
441,"Blood Meridian, or the Evening Redness in the West",Cormac McCarthy
442,All the Light We Cannot See,Anthony Doerr 
443,Houdini Heart,Ki Longfellow 
444,Artemis Fowl,Eoin Colfer
445,Pippi Longstocking,Astrid Lindgren
446,The Tales of Beedle the Bard,J.K. Rowling
447,The Virgin Suicides,Jeffrey Eugenides
448,The Reader,Bernhard Schlink
449,Nineteen Minutes,Jodi Picoult 
450,The House of Hades,Rick Riordan 
451,Shantaram,Gregory David Roberts
452,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson 
453,Redeeming Love,Francine Rivers 
454,The Age of Innocence,Edith Wharton
455,The Host,Stephenie Meyer
456,The Lost Symbol,Dan Brown 
457,Neuromancer,William Gibson
458,Betrayed,P.C. Cast 
459,Waiting for Godot,Samuel Beckett
460,The Grapes of Wrath,John Steinbeck
461,Northanger Abbey,Jane Austen
462,The Voyage of the Dawn Treader,C.S. Lewis
463,Dubliners,James Joyce
464,Lover Awakened,J.R. Ward 
465,War and Peace,Leo Tolstoy
466,A Court of Thorns and Roses,Sarah J. Maas 
467,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells 
468,The Waste Land,T.S. Eliot
469,Untamed,P.C. Cast 
470,Everything Is Illuminated,Jonathan Safran Foer 
471,A Dance with Dragons,George R.R. Martin
472,Crown of Midnight,Sarah J. Maas 
473,To the Lighthouse,Virginia Woolf
474,I Know Why the Caged Bird Sings,Maya Angelou
475,"I, Robot",Isaac Asimov
477,The Pearl,John Steinbeck
478,The One,Kiera Cass 
479,The Jungle,Upton Sinclair
480,Carrie,Stephen King 
481,Snow Falling on Cedars,David Guterson
482,Voyager,Diana Gabaldon 
483,"I, Claudius",Robert Graves
484,Heir of Fire,Sarah J. Maas 
485,Me Talk Pretty One Day,David Sedaris
486,Chosen,P.C. Cast 
487,A Room with a View,E.M. Forster
488,Bleak House,Charles Dickens
489,The Republic,Plato
490,The Last Battle,C.S. Lewis
491,The Exorcist,William Peter Blatty
492,The Elephant Tree,R.D. Ronald
493,Coraline,Neil Gaiman 
495,The 5th Wave,Rick Yancey
496,The Iron King,Julie Kagawa 
497,Quantum Roots II: Worm Holes,Kyle Keyes
498,Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Sáenz 
499,The Arabian Nights,Anonymous
500,The Complete Poems of Emily Dickinson,Emily Dickinson
501,Torment,Lauren Kate 
502,Bloodlines,Richelle Mead 
504,Vanity Fair,William Makepeace Thackeray
505,Wizard's First Rule,Terry Goodkind
506,North and South,Elizabeth Gaskell
507,Brideshead Revisited,Evelyn Waugh
508,The God Delusion,Richard Dawkins 
509,Pet Sematary,Stephen King 
510,Of Human Bondage,W. Somerset Maugham
511,Snow Crash,Neal Stephenson 
512,World War Z: An Oral History of the Zombie War,Max Brooks 
513,A Great and Terrible Beauty,Libba Bray 
514,Bared to You,Sylvia Day 
515,The Witching Hour,Anne Rice
516,The War of the Worlds,H.G. Wells
517,The Summoning,Kelley Armstrong 
518,"Cry, the Beloved Country",Alan Paton
519,Johnny Got His Gun,Dalton Trumbo
520,Chocolat,Joanne Harris 
521,Halfway to the Grave,Jeaniene Frost 
522,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson 
523,Perfect Chemistry,Simone Elkeles 
524,Red Queen,Victoria Aveyard 
525,City of Glass,Cassandra Clare 
526,The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass,Cassandra Clare 
527,The Woman in White,Wilkie Collins
528,Angels & Demons,Dan Brown 
529,Just Listen,Sarah Dessen 
530,2001: A Space Odyssey,Arthur C. Clarke
531,The Truth About Forever,Sarah Dessen 
532,A Discovery of Witches,Deborah Harkness 
533,Unwind,Neal Shusterman 
534,Trainspotting,Irvine Welsh
535,Are You My Mother?,P.D. Eastman
536,Cannery Row,John Steinbeck
537,Much Ado About Nothing,William Shakespeare
538,Swann's Way,Marcel Proust
539,Sarah's Key,Tatiana de Rosnay 
540,The Polar Express,Chris Van Allsburg
541,Acheron,Sherrilyn Kenyon 
542,Lady Chatterley's Lover,D.H. Lawrence
543,The Elite,Kiera Cass 
544,Silence,Becca Fitzpatrick 
545,Ishmael,Daniel Quinn
546,Nine Stories,J.D. Salinger
547,The Unbecoming of Mara Dyer,Michelle Hodkin 
548,The Return of the King,J.R.R. Tolkien
549,All the Bright Places,Jennifer Niven 
550,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer 
551,Far From the Madding Crowd,Thomas Hardy
552,The Zombie Room,R.D. Ronald
553,I Am Number Four,Pittacus Lore
554,Angelfall,Susan Ee 
555,Dead to the World,Charlaine Harris 
556,Persuasion,Jane Austen
557,The Bronze Horseman,Paullina Simons
558,You Are Special,Max Lucado 
559,Sabriel,Garth Nix 
560,Cutting for Stone,Abraham Verghese 
561,Little House on the Prairie,Laura Ingalls Wilder
562,Being and Time,Martin Heidegger
563,The Goose Girl,Shannon Hale 
564,I Capture the Castle,Dodie Smith
565,The Last Lecture,Randy Pausch
566,Ignite Me,Tahereh Mafi
567,The Glass Menagerie,Tennessee Williams
568,Twelfth Night,William Shakespeare
569,The Darkest Minds,Alexandra Bracken 
571,The Hours,Michael Cunningham 
572,Drums of Autumn,Diana Gabaldon 
573,Wicked Lovely,Melissa Marr 
574,P.S. I Love You,Cecelia Ahern
575,Queen of Shadows,Sarah J. Maas 
576,Hunted,P.C. Cast 
577,World Without End,Ken Follett 
578,A Christmas Carol,Charles Dickens
579,The Merchant of Venice,William Shakespeare
580,The Last Unicorn,Peter S. Beagle 
581,Slammed,Colleen Hoover 
582,Little House in the Big Woods,Laura Ingalls Wilder
583,Hyperion,Dan Simmons
584,No Country for Old Men,Cormac McCarthy
585,The Bean Trees,Barbara Kingsolver
586,The Raven Boys,Maggie Stiefvater 
587,The Bad Beginning,Lemony Snicket 
588,Cyrano de Bergerac,Edmond Rostand
589,Speaker for the Dead,Orson Scott Card
590,The Westing Game,Ellen Raskin
591,Interpreter of Maladies,Jhumpa Lahiri
592,The Red Pyramid,Rick Riordan 
593,We Were Liars,E. Lockhart 
594,The Goldfinch,Donna Tartt
595,All the King's Men,Robert Penn Warren
596,Julius Caesar,William Shakespeare
597,"Finding Hope in the Darkness of Grief: Spiritual Insights Expressed Through Art, Poetry and Prose",Diamante Lavendar 
598,Anne of Avonlea,L.M. Montgomery
599,A Dog's Purpose,W. Bruce Cameron 
600,Peace Like a River,Leif Enger
601,We Need to Talk About Kevin,Lionel Shriver 
602,The Silver Chair,C.S. Lewis
603,A Monster Calls,Patrick Ness
604,The Wasp Factory,Iain Banks
605,The Art of War,Sun Tzu
606,Poison Study,Maria V. Snyder 
607,Mythology,Edith Hamilton
608,The Two Towers,J.R.R. Tolkien
609,One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn
610,The Secret,Rhonda Byrne
611,The Queen of the Damned,Anne Rice
612,Left Behind,Tim LaHaye
613,The Eyre Affair,Jasper Fforde 
614,Inheritance,Christopher Paolini 
615,Before I Fall,Lauren Oliver 
616,The Talisman,Stephen King 
617,Where She Went,Gayle Forman 
618,Prince Caspian,C.S. Lewis
619,The Memory Keeper's Daughter,Kim Edwards 
620,The Knife of Never Letting Go,Patrick Ness
621,Shadowfever,Karen Marie Moning 
622,Gone,Michael Grant 
623,Native Son,Richard Wright
624,Seabiscuit: An American Legend,Laura Hillenbrand
625,The Blind Assassin,Margaret Atwood 
626,The Killer Angels,Michael Shaara
627,Foucault's Pendulum,Umberto Eco
628,The Scorch Trials,James Dashner 
629,Darkfever,Karen Marie Moning 
630,The History of Love,Nicole Krauss
631,If on a Winter's Night a Traveler,Italo Calvino
632,Sense and Sensibility,Jane Austen
633,Pretties,Scott Westerfeld 
634,The Bourne Identity,Robert Ludlum
635,Words of Radiance,Brandon Sanderson 
636,Possession,A.S. Byatt
637,Gravity's Rainbow,Thomas Pynchon
638,A People's History of the United States,Howard Zinn
639,I Am Legend and Other Stories,Richard Matheson
640,A Brief History of Time,Stephen Hawking
641,Night,Elie Wiesel
642,Oedipus Rex,Sophocles
643,Scarlet,Marissa Meyer 
644,Alanna: The First Adventure,Tamora Pierce 
646,Watchers,Dean Koontz 
647,John Adams,David McCullough
648,One for the Money,Janet Evanovich 
649,A Wizard of Earthsea,Ursula K. Le Guin
650,The Song of Achilles,Madeline Miller 
651,Lover Unbound,J.R. Ward 
652,Champion,Marie Lu 
653,The Haunting of Hill House,Shirley Jackson
654,The Left Hand of Darkness,Ursula K. Le Guin
655,Assassin's Apprentice,Robin Hobb 
656,I'll Give You the Sun,Jandy Nelson 
657,1Q84,Haruki Murakami
658,The Night Before Christmas,Clement C. Moore
659,The Yellow Wallpaper and Other Stories,Charlotte Perkins Gilman
660,The Magus,John Fowles
661,Oryx and Crake,Margaret Atwood 
662,Tempted,P.C. Cast 
663,Cress,Marissa Meyer 
664,Inferno,Dan Brown 
665,A Breath of Snow and Ashes,Diana Gabaldon 
666,Night Watch,Terry Pratchett
667,A Heartbreaking Work of Staggering Genius,Dave Eggers
668,Veronika Decides to Die,Paulo Coelho 
669,Brainwalker,Robyn Mundell 
670,The Lies of Locke Lamora,Scott Lynch 
671,Jitterbug Perfume,Tom Robbins
672,Papillon,Henri Charrière
673,Prodigal Summer,Barbara Kingsolver
674,Corelli's Mandolin,Louis de Bernières
675,"I'd Tell You I Love You, But Then I'd Have to Kill You",Ally Carter 
676,Matching Configurations: QUANTUM ROOTS III,Kyle Keyes
677,The Fiery Cross,Diana Gabaldon 
678,The Magic Mountain,Thomas Mann
679,The Sisterhood of the Traveling Pants,Ann Brashares
680,Howl and Other Poems,Allen Ginsberg
